symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
JSWENERGY,10902.0,66.4,61.92,37.93,1.51,6.03,2.4,-4.42,10.0
JSWSTEEL,53892.0,222.95,145.46,7.34,2.29,22.01,26.14,27.86,1.0
JAGRAN,1734.0,58.5,45.21,8.52,5.98,20.68,14.37,2.71,2.0
JAICORPLTD,1453.0,81.45,70.73,92.4,0.61,5.21,1.64,0.07,1.0
JISLJALEQS,598.03,11.7,92.36,2.89,8.62,10.44,5.05,1.32,2.0
J&KBANK,1648.0,29.6,118.99,3.8,0.0,5.3,7.27,3.9,1.0
JAMNAAUTO,1494.0,37.5,12.91,12.5,2.53,45.45,29.69,23.29,1.0
JINDALSAW,2715.0,84.9,199.08,4.93,2.36,11.9,8.22,17.11,2.0
JSLHISAR,1522.0,64.5,64.29,6.37,0.0,18.57,17.44,12.03,2.0
JSL,1654.0,33.95,50.79,16.22,0.0,12.11,4.4,24.46,2.0
JINDALSTEL,10664.0,104.55,221.06,10.01,0.0,8.45,5.01,26.48,1.0
JCHAC,5409.0,1989.0,225.45,54.74,0.08,20.0,14.97,10.96,10.0
JUBLFOOD,17726.0,1343.0,100.31,54.04,0.37,42.68,27.85,13.57,10.0
JUBILANT,7534.0,472.95,146.91,48.29,0.95,8.24,6.62,8.99,1.0
JUSTDIAL,3932.0,606.25,153.99,17.43,0.0,29.08,20.91,10.12,10.0
JYOTHYLAB,5943.0,161.85,23.26,29.76,1.85,22.77,25.01,4.68,1.0
KPRMILL,4096.0,564.5,208.27,14.32,0.13,23.13,20.13,14.94,5.0
KEI,4318.0,543.15,97.97,22.09,0.22,29.42,26.3,22.04,2.0
KNRCON,3251.0,231.2,100.58,13.6,0.17,20.35,19.9,34.59,2.0
KPITTECH,2662.0,97.1,33.69,32.05,0.76,18.5,17.99,,10.0
KRBL,4744.0,201.55,115.44,8.8,1.24,20.77,20.03,7.19,1.0
KAJARIACER,8807.0,554.1,98.52,35.33,0.54,25.43,16.73,3.72,1.0
KALPATPOWR,6810.0,440.15,203.74,16.51,0.68,22.18,13.61,18.6,2.0
