symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
GILLETTE,25545.0,7838.0,238.83,101.0,0.29,59.81,38.92,-3.73,10.0
GLAXO,24372.0,1439.0,126.47,55.01,1.39,31.15,19.96,3.45,10.0
GLENMARK,8462.0,299.85,423.19,7.15,0.67,12.87,12.04,1.02,1.0
GODFRYPHLP,5664.0,1089.0,364.71,18.94,0.92,16.14,10.89,2.13,2.0
GODREJAGRO,9943.0,517.75,72.43,48.92,0.87,19.95,14.03,8.39,10.0
GODREJCP,73289.0,716.9,48.19,41.3,1.67,31.98,36.55,7.64,1.0
GODREJIND,13449.0,399.7,48.49,146.74,0.29,8.32,8.65,18.06,1.0
GODREJPROP,24571.0,974.95,105.43,78.51,0.0,8.45,8.2,56.48,5.0
GRANULES,2581.0,101.5,55.98,14.19,0.99,11.56,11.98,16.48,1.0
GRAPHITE,5705.0,291.95,238.13,2.62,18.84,112.0,78.3,71.03,2.0
GRASIM,49095.0,746.5,637.99,21.19,0.94,8.31,2.55,31.83,2.0
GESHIP,4372.0,289.95,335.97,51.82,1.86,3.23,-0.79,10.36,10.0
GREAVESCOT,3116.0,127.6,39.69,17.57,3.13,24.03,16.38,7.2,2.0
GRINDWELL,6664.0,601.85,98.16,40.75,1.0,22.97,14.78,11.64,5.0
GUJALKALI,3219.0,438.35,585.06,4.84,1.83,23.94,16.99,16.58,10.0
GUJGASLTD,12243.0,177.85,31.73,22.6,0.56,19.13,21.29,8.29,2.0
GMDCLTD,1867.0,58.7,134.76,5.86,3.41,13.96,5.82,16.83,2.0
GNFC,3101.0,199.55,321.52,4.99,3.51,16.52,15.64,9.01,10.0
GPPL,3778.0,78.15,41.8,17.58,4.48,15.92,10.19,2.08,10.0
GSFC,3110.0,78.05,182.39,6.4,2.82,8.71,6.8,11.97,2.0
GSPL,11825.0,209.65,101.83,13.81,0.95,17.53,14.71,23.69,10.0
GULFOILLUB,4363.0,871.1,117.15,23.41,1.31,36.62,33.74,19.04,2.0
HEG,3743.0,969.75,963.58,1.49,8.25,143.0,109.0,96.44,10.0
HCLTECH,148614.0,1096.0,224.38,18.6,0.73,33.82,27.9,24.64,2.0
HDFCAMC,61288.0,2883.0,144.43,60.26,0.83,51.64,34.96,11.67,5.0
HDFCBANK,672357.0,1229.0,272.73,30.5,0.61,7.51,16.5,18.01,1.0
HDFCLIFE,122765.0,608.45,28.03,92.92,0.27,29.49,24.61,28.36,10.0
HATHWAY,3947.0,22.3,24.43,12.04,0.0,3.83,11.19,-21.79,2.0
HATSUN,10105.0,625.0,49.77,78.84,0.79,14.51,20.46,11.39,1.0
HAVELLS,43155.0,689.6,67.79,57.16,0.65,28.7,19.89,23.35,1.0
HEIDELBERG,4361.0,192.45,51.68,17.55,2.08,24.83,19.9,8.98,10.0
HERITGFOOD,1483.0,319.65,173.49,17.37,0.63,14.27,10.69,1.41,5.0
HEROMOTOCO,52851.0,2646.0,643.74,16.31,3.29,39.64,26.73,5.76,2.0
HEXAWARE,11320.0,379.45,61.49,23.6,2.23,33.74,27.63,11.52,2.0
HFCL,2408.0,18.75,11.24,10.52,0.53,20.57,14.1,15.17,1.0
HSCL,3161.0,75.5,40.07,10.4,0.2,24.15,19.61,27.36,1.0
HIMATSEIDE,1396.0,141.75,146.76,5.81,3.53,13.17,17.26,19.52,5.0
HINDALCO,42090.0,187.4,216.2,50.79,0.63,5.11,2.49,10.11,1.0
HAL,23726.0,709.55,324.43,9.94,2.79,29.91,22.45,5.88,10.0
HINDCOPPER,3567.0,38.55,17.63,27.13,1.35,11.85,9.2,19.22,5.0
HINDPETRO,47825.0,313.85,184.9,9.34,5.07,20.03,23.1,15.7,10.0
HINDUNILVR,456093.0,2107.0,36.23,67.96,1.04,119.0,84.04,7.16,1.0
HINDZINC,91436.0,216.4,79.53,11.72,9.24,28.32,22.1,14.2,2.0
HONAUT,25176.0,28479.0,1977.0,66.04,0.16,35.44,22.66,13.22,10.0
HUDCO,7007.0,35.0,54.73,5.93,2.36,8.43,11.29,19.52,10.0
HDFC,361648.0,2094.0,448.0,33.97,1.0,9.9,13.51,11.94,2.0
ICICIBANK,282823.0,437.8,167.74,52.46,0.23,4.52,3.15,6.33,2.0
ICICIGI,56533.0,1244.0,119.7,52.12,0.48,22.96,16.12,20.17,10.0
ICICIPRULI,68454.0,476.75,50.85,59.84,0.66,19.32,16.96,25.76,10.0
ISEC,9197.0,285.5,32.11,19.61,3.29,53.06,52.02,0.0,5.0
ICRA,2483.0,2572.0,568.06,28.17,1.17,23.39,17.07,5.61,10.0
IDBI,23750.0,30.7,48.62,-1.0,0.0,-2.05,-51.15,-7.67,10.0
IDFC,5268.0,33.0,61.26,34.95,0.0,1.11,1.31,-11.24,10.0
IFBIND,2736.0,675.3,153.17,48.23,0.0,13.91,10.26,19.17,10.0
